A00;Χολέρα
M66.2;Αυτόματη ρήξη εκτεινόντων τενόντων
M66.3;Αυτόματη ρήξη καμπτήρων τενόντων
M66.4;Αυτόματη ρήξη άλλων τενόντων
M66.5;Αυτόματη ρήξη μη καθορισμένου τένοντα
M67;Άλλες παθήσεις του αρθρικού υμένα και των τενόντων
M67.0;Βραχύς αχίλλειος τένοντας (επίκτητος)
M67.1;Άλλη σύσπαση τένοντα (ελύτρου)
M67.2;Υπερτροφία του αρθρικού υμένα, που δεν ταξινομείται αλλού
M67.3;Παροδική υμενίτιδα
M67.4;Γάγγλιο
M67.8;Άλλες καθορισμένες παθήσεις του αρθρικού υμένα και των τενόντων 
M67.9;Πάθηση του αρθρικού υμένα και των τενόντων, μη καθορισμένη
M68*;Παθήσεις του αρθρικού υμένα και των τενόντων σε νοσήματα που ταξινομούνται αλλού
M68.0*;Υμενίτιδα και τενοντοελυτρίτιδα  σε βακτηριακά νοσήματα που ταξινομούνται αλλού
M68.8*;Άλλες παθήσεις του αρθρικού υμένα και των τενόντων σε νοσήματα που ταξινομούνται αλλού
M70;Παθήσεις των μαλακών ιστών που σχετίζονται με χρήση, υπερβολική χρήση και πίεση
M70.0;Χρόνια κριγμώδης υμενίτιδα της άκρας χείρας και του καρπού 
M70.1;Θυλακίτιδα της άκρας χείρας
M70.2;Θυλακίτιδα του ωλέκρανου
M70.3;Άλλη θυλακίτιδα του αγκώνα
M70.4;Προεπιγονατιδική θυλακίτιδα
M70.5;Άλλη θυλακίτιδα του γόνατος
M70.6;Τροχαντήριος θυλακίτιδα
M70.7;Άλλη θυλακίτιδα του ισχίου
M70.8;Άλλες παθήσεις των μαλακών ιστών που σχετίζονται με χρήση, υπερβολική χρήση και πίεση
M70.9;Μη καθορισμένη πάθηση των μαλακών ιστών που σχετίζεται με χρήση, υπερβολική χρήση και πίεση 
M71;Άλλες ορογονοθυλακίτιδες
M71.0;Απόστημα αρθρικού θυλάκου
M71.1;Άλλη λοιμώδης θυλακίτιδα
M71.2;Ιγνυακή κύστη [Βaker]
M71.3;Άλλη θυλακική κύστη
M71.4;Εναπόθεση ασβεστίου στον αρθρικό θύλακο
M71.5;Άλλη θυλακίτιδα, που δεν ταξινομείται αλλού
M71.8;Άλλες καθορισμένες ορογονοθυλακίτιδες
M71.9;Ορογονοθυλακίτιδα, μη καθορισμένη
M72;Ινοβλαστικές παθήσεις
M72.0;Ρίκνωση της παλαμιαίας απονεύρωσης [Dupuytren]
M72.1;Οζώδες παχύνσεις του δέρματος της ραχιαίας επιφάνειας των μεσοφαλαγγικών αρθρώσεων 
M72.2;Ίνωση της πελματιαίας απονεύρωσης
M72.4;Ψευδοσαρκωματώδης ινωμάτωση
M72.6;Νεκρωτική φλεγμονή περιτονίας
M72.8;Άλλες ινοβλαστικές παθήσεις
M72.9;Ινοβλαστική πάθηση, μη καθορισμένη
M73*;Παθήσεις των μαλακών ιστών σε νοσήματα που ταξινομούνται αλλού
M73.0*;Γονοκοκκική θυλακίτιδα (A54.4+)
M73.1*;Συφιλιδική θυλακίτιδα (A52.7+)
M73.8*;Άλλες παθήσεις των μαλακών ιστών σε νοσήματα που ταξινομούνται αλλού
M75;Παθήσεις του ώμου
M75.0;Συμφυτική θυλακίτιδα  του ώμου
M75.1;Σύνδρομο του τενόντιου πετάλου του ώμου
M75.2;Τενοντίτιδα του δικεφάλου
M75.3;Ασβεστοποιητική τενοντίτιδα του ώμου
M75.4;Σύνδρομο πρόσκρουσης του ώμου 
M75.5;Θυλακίτιδα του ώμου
M75.8;Άλλες παθήσεις του ώμου
M75.9;Πάθηση του ώμου, μη καθορισμένη
M76;Ενθεσοπάθειες του κάτω άκρου, εκτός του άκρου πόδα
M76.0;Τενοντίτιδα γλουτιαίων 
M76.1;Τενοντίτιδα του ψοΐτη
M76.2;Οστεόφυτο της λαγόνιας ακρολοφίας
M76.3;Σύνδρομο της λαγονοκνημιαίας ταινίας
M76.4;Οστεοποίηση της έκφυσης του έσω πλάγιου συνδέσμου του γόνατος [Pellegrini-Stieda]
M76.5;Τενοντίτιδα της επιγονατίδας
M76.6;Τενοντίτιδα του Αχιλλείου τένοντα
M76.7;Περονιαία τενοντίτιδα
M76.8;Άλλες ενθεσοπάθειες του κάτω άκρου, εκτός του άκρου ποδός
M76.9;Ενθεσοπάθεια του κάτω άκρου, μη καθορισμένη 
M77;Άλλες ενθεσοπάθειες
M77.0;Έσω επικονδυλίτιδα
M77.1;Έξω  επικονδυλίτιδα
M77.2;Περιαρθρίτιδα του καρπού
M77.3;Άκανθα πτέρνας
M77.4;Μεταταρσαλγία
M77.5;Άλλη ενθεσοπάθεια του άκρου πόδα
M77.8;Άλλες ενθεσοπάθειες, που δεν ταξινομούνται αλλού
M77.9;Ενθεσοπάθεια, μη καθορισμένη
M79;Άλλες παθήσεις των μαλακών ιστών, που δεν ταξινομούνται αλλού
M79.0;Ρευματισμός, μη καθορισμένος
M79.1;Μυαλγία
M79.2;Νευραλγία και νευρίτιδα, μη καθορισμένη
M79.3;Υποδερματίτιδα, μη καθορισμένη
M79.4;Υπερτροφία του (υποεπιγονατιδικού) λιπώδους σώματος
M79.5;Παραμονή ξένου σώματος σε μαλακά μόρια
M79.6;Άλγος στα άκρα
M79.7;Ινομυαλγία
M79.8;Άλλες καθορισμένες παθήσεις των μαλακών ιστών
M79.9;Πάθηση μαλακών ιστών, μη καθορισμένη
M80;Οστεοπόρωση με παθολογικό κάταγμα
M80.0;Μετεμμηνοπαυσιακή οστεοπόρωση με παθολογικό κάταγμα
M80.1;Οστεοπόρωση μετά από αφαίρεση των ωοθηκών με παθολογικό κάταγμα
M80.2;Οστεοπόρωση από ακινητοποίηση με παθολογικό κάταγμα
M80.3;Οστεοπόρωση από μετεγχειρητική δυσαπορρόφηση με παθολογικό κάταγμα
M80.4;Φαρμακευτική οστεοπόρωση με παθολογικό κάταγμα
M80.5;Ιδιοπαθής οστεοπόρωση με παθολογικό κάταγμα
M80.8;Άλλες μορφές οστεοπόρωσης με παθολογικό κάταγμα
M80.9;Οστεοπόρωση με παθολογικό κάταγμα, μη καθορισμένη
M81;Οστεοπόρωση χωρίς παθολογικό κάταγμα
M81.0;Μετεμμηνοπαυσιακή οστεοπόρωση
M81.1;Οστεοπόρωση μετά από αφαίρεση των ωοθηκών
M81.2;Οστεοπόρωση από ακινητοποίηση
M81.3;Οστεοπόρωση από μετεγχειρητική δυσαπορρόφηση
M81.4;Φαρμακευτική οστεοπόρωση
M81.5;Ιδιοπαθής οστεοπόρωση
M81.6;Εντοπισμένη οστεοπόρωση [Lequesne]
M81.8;Άλλη οστεοπόρωση
M81.9;Οστεοπόρωση, μη καθορισμένη
M82*;Οστεοπόρωση σε νοσήματα που ταξινομούνται αλλού
M82.0*;Οστεοπόρωση στο πολλαπλό μυέλωμα (C90.0+)
M82.1*;Οστεοπόρωση σε ενδοκρινικές διαταραχές (E00-E34+)
M82.8*;Οστεοπόρωση σε άλλα νοσήματα που ταξινομούνται αλλού
M83;Οστεομαλακία ενηλίκων
M83.0;Οστεομαλακία της λοχείας
M83.1;Γεροντική οστεομαλακία
M83.2;Οστεομαλακία ενηλίκων που οφείλεται σε δυσαπορρόφηση
M83.3;Οστεομαλακία ενηλίκων από δυσθρεψία
M83.4;Νόσος των οστών από αργίλιο
M83.5;Άλλη φαρμακευτική οστεομαλακία ενηλίκων
M83.8;Άλλη οστεομαλακία ενηλίκων
M83.9;Οστεομαλακία ενηλίκων, μη καθορισμένη
M84;Διαταραχές της οστικής συνέχειας
M84.0;Πόρωση κατάγματος σε πλημμελή θέση 
M84.1;Απουσία πόρωσης του κατάγματος [ψευδάρθρωση]
M84.2;Καθυστερημένη πόρωση κατάγματος
M84.3;Κάταγμα από καταπόνηση, που δεν ταξινομείται αλλού
M84.4;Παθολογικό κάταγμα, που δεν ταξινομείται αλλού
M84.8;Άλλες διαταραχές της οστικής συνέχειας
M84.9;Διαταραχή της οστικής συνέχειας, μη καθορισμένη
M85;Άλλες διαταραχές της οστικής πυκνότητας και δομής 
M85.0;Ινώδης δυσπλασία (μονοοστική)
M85.1;Σκελετική φθορίαση
M85.2;Υπερόστωση του κρανίου
M85.3;Σκληρωτική οστεΐτιδα
M85.4;Μονήρης οστική κύστη
M85.5;Ανευρυσματική κύστη των οστών
M85.6;Άλλη οστική κύστη
M85.8;Άλλες καθορισμένες διαταραχές της οστικής πυκνότητας και δομής
M85.9;Διαταραχή της οστικής πυκνότητας και δομής, μη καθορισμένη
M86;Οστεομυελίτιδα
M86.0;Οξεία αιματογενής οστεομυελίτιδα
M86.1;Άλλη οξεία οστεομυελίτιδα
M86.2;Υποξεία οστεομυελίτιδα
M86.3;Χρόνια πολυεστιακή οστεομυελίτιδα
M86.4;Χρόνια οστεομυελίτιδα με παροχετευτική κοιλότητα
M86.5;Άλλη χρόνια αιματογενής οστεομυελίτιδα
M86.6;Άλλη χρόνια οστεομυελίτιδα
M86.8;Άλλη οστεομυελίτιδα
M86.9;Οστεομυελίτιδα, μη καθορισμένη
M87;Οστεονέκρωση
M87.0;Ιδιοπαθής άσηπτη νέκρωση των οστών
M87.1;Οστεονέκρωση που οφείλεται σε φάρμακα
M87.2;Οστεονέκρωση που οφείλεται σε προηγούμενο τραυματισμό
M87.3;Άλλη δευτεροπαθής οστεονέκρωση
M87.8;Άλλη οστεονέκρωση
M87.9;Οστεονέκρωση, μη καθορισμένη
M88;Νόσος Paget των οστών [παραμορφωτική οστεΐτιδα]
M88.0;Νόσος Paget του κρανίου
M88.8;Νόσος Paget άλλων οστών
M88.9;Νόσου Paget των αστών, μη καθορισμένη
M89;Άλλες παθήσεις των οστών
M89.0;Αλγοδυστροφία
M89.1;Πρόωρη σύγκλειση των επιφύσεων
M89.2;Άλλες παθήσεις της ανάπτυξης και της αύξησης των οστών
M89.3;Υπερτροφία των οστών
M89.4;Άλλη υπερτροφική οστεοαρθροπάθεια
M89.5;Οστεόλυση
M89.6;Οστική πάθηση μετά από πολιομυελίτιδα
M89.8;Άλλες καθορισμένες παθήσεις των οστών
M89.9;Οστική πάθηση, μη καθορισμένη 
M90*;Οστικές παθήσεις σε νοσήματα που ταξινομούνται αλλού
M90.0*;Φυματίωση των οστών (A18.0+)
M90.1*;Περιοστίτιδα σε άλλα λοιμώδη νοσήματα που ταξινομούνται αλλού
M90.2*;Οστική πάθηση σε άλλα λοιμώδη νοσήματα που ταξινομούνται αλλού:
M90.3*;Οστεονέκρωση στη νόσο των δυτών (T70.3+ )
M90.4*;Οστεονέκρωση που οφείλεται σε αιμοσφαιρινοπάθεια (D50-D64+ )
M90.5*;Οστεονέκρωση σε άλλα νοσήματα που ταξινομούνται αλλού 
M90.6*;Παραμορφωτική οστεΐτιδα στα νεοπλασματικά νοσήματα (C00-D48+ )
M90.7*;Κάταγμα οστού σε νεοπλασματικό νόσημα (C00-D48+ )
M90.8*;Οστική πάθηση σε άλλα νοσήματα που ταξινομούνται αλλού 
M91;Νεανική οστεοχονδρίτιδα του ισχίου και της πυέλου
M91.0;Νεανική οστεοχονδρίτιδα της πυέλου
M91.1;Νεανική οστεοχονδρίτιδα της κεφαλής του μηριαίου [Legg-Calv?-Perthes]
M91.2;Οστεοχονδρίτιδα της κεφαλής του μηριαίου 
M91.3;Ψευδοϊσχιαλγία  
M91.8;Άλλη νεανική οστεοχονδρίτιδα του ισχίου και της πυέλου
M91.9;Νεανική οστεοχονδρίτιδα του ισχίου και της πυέλου, μη καθορισμένη
M92;Άλλη νεανική οστεοχονδρίτιδα
M92.0;Νεανική οστεοχονδρίτιδα του βραχιόνιου οστού
M92.1;Νεανική οστεοχονδρίτιδα της κερκίδας και της ωλένης 
M92.2;Νεανική οστεοχονδρίτιδα της άκρας χείρας
M92.3;Άλλη νεανική οστεοχονδρίτιδα του άνω άκρου
M92.4;Νεανική οστεοχονδρίτιδατης επιγονατίδας
M92.5;Νεανική οστεοχονδρίτιδα της κνήμης και της περόνης
M92.6;Νεανική οστεοχονδρίτιδα του ταρσού
M92.7;Νεανική οστεοχονδρίτιδα του μεταταρσίου
M92.8;Άλλη καθορισμένη νεανική οστεοχονδρίτιδα
M92.9;Νεανική οστεοχονδρίτιδα, μη καθορισμένη
M93;Άλλες οστεοχονδρίτιδες
M93.0;Επιφυσιολίσθηση της κεφαλής του μηριαίου (μη τραυματική)
M93.1;Νόσος Kienb?ck των ενηλίκων
M93.2;Διαχωριστική (σχαλιδωτική) οστεοχονδρίτιδα
M93.8;Άλλες καθορισμένες οστεοχονδρίτιδες
M93.9;Οστεοχονδρίτιδα, μη καθορισμένη
M94;Άλλες παθήσεις του χόνδρου
M94.0;Σύνδρομο της χονδροπλευρικής συμβολής [Tietze]
M94.1;Υποτροπιάζουσα πολυχονδρίτιδα
M94.2;Χονδρομαλακία
M94.3;Χονδρόλυση
M94.8;Άλλες καθορισμένες παθήσεις του χόνδρου
M94.9;Πάθηση του χόνδρου, μη καθορισμένη
M95;Άλλες επίκτητες παραμορφώσεις του μυοσκελετικού συστήματος και του συνδετικού ιστού
M95.0;Επίκτητη παραμόρφωση της ρίνας
M95.1;Ανθοκραμβοειδές ους (αυτί)
M95.2;Άλλη επίκτητη παραμόρφωση της κεφαλής
M95.3;Επίκτητη παραμόρφωση του τραχήλου 
M95.4;Επίκτητη παραμόρφωση του θώρακα και των πλευρών
M95.5;Επίκτητη παραμόρφωση της πυέλου
M95.8;Άλλες καθορισμένες επίκτητες παραμορφώσεις του μυοσκελετικού συστήματος
M95.9;Επίκτητη παραμόρφωση του μυοσκελετικού συστήματος, μη καθορισμένη
M96;Παθήσεις του μυοσκελετικού συστήματος μετά από ιατρικές επεμβάσεις, που δεν ταξινομούνται αλλού
M96.0;Ψευδάρθρωση μετά από χειρουργική επέμβαση οστεοσύνθεσης οστών ή αρθροδεσία
M96.1;Σύνδρομο μετά από πεταλεκτομή, που δεν ταξινομείται αλλού
M96.2;Κύφωση μετά από ακτινοβολία
M96.3;Κύφωση μετά από πεταλεκτομή
M96.4;Μετεγχειρητική λόρδωση
M96.5;Σκολίωση μετά από ακτινοβολία
M96.6;Οστικό κάταγμα μετά από εισαγωγή ορθοπεδικών εμφυτευμάτων, αρθρικών προθέσεων ή οστικών δίσκων
M96.8;Άλλες παθήσεις του μυοσκελετικού συστήματος μετά από ιατρικές επεμβάσεις
M96.9;Πάθηση του μυοσκελετικού συστήματος μετά από ιατρική επέμβαση, μη καθορισμένη 
M99;Εμβιομηχανικές βλάβες, που δεν ταξινομούνται αλλού
M99.0;Τμηματική και σωματική δυσλειτουργία
M99.1;Σύμπλεγμα σπονδυλικού υπεξαρθρήματος 
M99.2;Στένωση από υπεξάρθρημα του νευρικού σωλήνα 
M99.3;Οστέϊνη στένωση του νευρικού σωλήνα
M99.4;Στένωση του νευρικού σωλήνα σε νοσήματα του συνδετικού ιστού
M99.5;Στένωση του νευρικού σωλήνα από μεσοσπονδύλιο δίσκο
M99.6;Οστέϊνη και υπεξαρθρηματική στένωση των μεσοσπονδύλιων τρημάτων
M99.7;Στένωση των μεσοσπονδύλιων τρημάτων σε νοσήματα του συνδετικού ιστού και των μεσοσπονδύλιων δίσκων
M99.8;Άλλες εμβιομηχανικές βλάβες
M99.9;Εμβιομηχανική βλάβη, μη καθορισμένη
Μ25;Άλλες διαταραχές των αρθρώσεων, που δεν ταξινομούνται αλλού
N00;Οξύ νεφριτιδικό σύνδρομο
N01;Ταχέως εξελισσόμενο νεφριτιδικό σύνδρομο 
N02;Υποτροπιάζουσα και εμμένουσα αιματουρία
N03;Χρόνιο νεφριτιδικό σύνδρομο
N04;Νεφρωσικό σύνδρομο
N05;Μη καθορισμένο νεφριτιδικό σύνδρομο
N06;Μεμονωμένη πρωτεϊνουρία με καθορισμένη μορφολογική βλάβη
N07;Κληρονομική νεφροπάθεια, που δεν ταξινομείται αλλού
N08*;Σπειραματικές διαταραχές σε νοσήματα που ταξινομούνται αλλού
N08.0*;Σπειραματικές διαταραχές σε λοιμώδη και παρασιτικά νοσήματα που ταξινομούνται αλλού
N08.1*;Σπειραματικές διαταραχές σε νεοπλασματικά νοσήματα
N08.2*;Σπειραματικές διαταραχές σε νοσήματα του αίματος και διαταραχές του μηχανισμού ανοσίας
N08.3*;Σπειραματικές διαταραχές στον σακχαρώδη διαβήτη (E10-E14+ με κοινό τέταρτο ψηφίο το .2)
N08.4*;Σπειραματικές διαταραχές σε άλλα ενδοκρινικά, διατροφικά και μεταβολικά νοσήματα
N08.5*;Σπειραματικές διαταραχές σε συστηματικά νοσήματα του συνδετικού ιστού 
N08.8*;Σπειραματικές διαταραχές σε άλλα νοσήματα που ταξινομούνται αλλού
N10;Οξεία διαμεσοσωληναριακή νεφρίτιδα
N11;Χρόνια διαμεσοσωληναριακή νεφρίτιδα
N11.0;Μη αποφρακτική χρόνια πυελονεφρίτιδα από παλινδρόμηση
N11.1;Χρόνια αποφρακτική πυελονεφρίτιδα
N11.8;Άλλη χρόνια διαμεσοσωληναριακή νεφρίτιδα
N11.9;Χρόνια διαμεσοσωληναριακή νεφρίτιδα, μη καθορισμένη
N12;Διαμεσοσωληναριακή νεφρίτιδα, μη καθορισμένη ως οξεία ή χρόνια
N13;Αποφρακτική ουροπάθεια και νεφροπάθεια από παλινδρόμηση
N13.0;Υδρονέφρωση με απόφραξη της πυελοουρητηρικής συμβολής 
N13.1;Υδρονέφρωση, με στένωση του ουρητήρα, που δεν ταξινομείται αλλού
N13.2;Υδρονέφρωση με νεφρική και ουρητηρική απόφραξη από λίθο
N13.3;Άλλη και μη καθορισμένη υδρονέφρωση
N13.4;Υδροουρητήρας
N13.5;Παραμόρφωση της πορείας του ουρητήρα και στένωση του ουρητήρα χωρίς υδρονέφρωση
N13.6;Πυονέφρωση
N13.7;Κυστεοουρητηρική παλινδρόμηση με ουροπάθεια
N13.8;Άλλη αποφρακτική ουροπάθεια και ουροπάθεια από παλινδρόμηση
N13.9;Αποφρακτική ουροπάθεια και ουροπάθεια από παλινδρόμηση, μη καθορισμένη 
N14;Διαμεσοσωληναριακές και σωληναριακές καταστάσεις από φάρμακα και βαρέα μέταλλα
N14.0;Νεφροπάθεια από αναλγητικά
N14.1;Νεφροπάθεια από άλλα φάρμακα, φαρμακευτικές και βιολογικές ουσίες
N14.2;Νεφροπάθεια από μη καθορισμένα φάρμακα, φαρμακευτικές και βιολογικές ουσίες
N14.3;Νεφροπάθεια από βαρέα μέταλλα
N14.4;Τοξική νεφροπάθεια, που δεν ταξινομείται αλλού
N15;Άλλες διαμεσοσωληναριακές νεφρικές παθήσεις
N15.0;Βαλκανική νεφροπάθεια
N15.1;Νεφρικό και περινεφρικό απόστημα
N15.8;Άλλες καθορισμένες διαμεσοσωληναριακές νεφρικές παθήσεις
N15.9;Διαμεσοσωληναριακή νεφρική πάθηση, μη καθορισμένη
N16*;Διαμεσοσωληναριακές διαταραχές σε νοσήματα που ταξινομούνται αλλού
N16.0*;Διαμεσοσωληναριακές διαταραχές σε λοιμώδη και παρασιτικά νοσήματα που ταξινομούνται αλλού
N16.1*;Διαμεσοσωληναριακές νεφρικές διαταραχές σε νεοπλασματικά νοσήματα
N16.2*;Διαμεσοσωληναριακές νεφρικές διαταραχές σε νοσήματα του αίματος και διαταραχές που αφορούν το μηχανισμό ανοσίας
N16.3*;Διαμεσοσωληναριακές νεφρικές διαταραχές σε μεταβολικά νοσήματα
N16.4*;Διαμεσοσωληναριακές νεφρικές διαταραχές σε συστηματικά νοσήματα του συνδετικού ιστού
N16.5*;Διαμεσοσωληναριακές διαταραχές σε απόρριψη μοσχεύματος (T86.-+ )
N16.8*;Διαμεσοσωληναριακές διαταραχές σε άλλα νοσήματα που ταξινομούνται αλλού
N17;Οξεία νεφρική ανεπάρκεια
N17.0;Οξεία νεφρική ανεπάρκεια με σωληναριακή νέκρωση
N17.1;Οξεία νεφρική ανεπάρκεια με οξεία φλοιώδη νέκρωση 
N17.2;Οξεία νεφρική ανεπάρκεια με μυελώδη νέκρωση 
N17.8;Άλλη οξεία νεφρική ανεπάρκεια
N17.9;Οξεία νεφρική ανεπάρκεια, μη καθορισμένη
N18;Χρόνια νεφρική ανεπάρκεια
N18.0;Νεφροπάθεια τελικού σταδίου
N18.8;Άλλη χρόνια νεφρική ανεπάρκεια
N18.9;Χρόνια νεφρική ανεπάρκεια, μη καθορισμένη
N19;Μη καθορισμένη νεφρική ανεπάρκεια
N20;Λιθίαση του νεφρού και του ουρητήρα
N20.0;Νεφρόλιθος
N20.1;Λίθος του ουρητήρα
N20.2;Νεφρολιθίαση με λίθο του ουρητήρα
N20.9;Λιθίαση του ουροποιητικού, μη καθορισμένη
N21;Λίθος του κατώτερου ουροποιητικού
N21.0;Λίθος στην κύστη
N21.1;Λίθος στην ουρήθρα
N21.8;Άλλος λίθος του κατώτερου ουροποιητικού
N21.9;Λίθος του κατώτερου ουροποιητικού, μη καθορισμένος
N22*;Λίθος του ουροποιητικού σε νοσήματα που ταξινομούνται αλλού
N22.0*;Λίθος του ουροποιητικού στη σχιστοσωμίαση [βιλαρζίαση] (B65.-+ )
N22.8*;Λίθος του ουροποιητικού σε άλλα νοσήματα που ταξινομούνται αλλού
N23;Μη καθορισμένος νεφρικός κολικός, 
N25;Διαταραχές που προκύπτουν από έκπτωση της  λειτουργίας των νεφρικών σωληναρίων
N25.0;Νεφρική οστεοδυστροφία
N25.1;Νεφρογενής άποιος διαβήτης
N25.8;Άλλες διαταραχές που προκύπτουν από έκπτωση της λειτουργίας των νεφρικών σωληναρίων
N25.9;Διαταραχή που προκύπτει από έκπτωση της λειτουργίας των νεφρικών σωληναρίων, μη καθορισμένη
N26;Μη καθορισμένος ρικνός νεφρός, 
N27;Μικρός νεφρός άγνωστης αιτιολογίας
N27.0;Μικρός νεφρός, ετερόπλευρος
N27.1;Μικρός νεφρός, αμφοτερόπλευρος
N27.9;Μικρός νεφρός, μη καθορισμένος 
N28;Άλλες διαταραχές του νεφρού και του ουρητήρα, που δεν ταξινομούνται αλλού
N28.0;Ισχαιμία και έμφρακτο του νεφρού
N28.1;Κύστη του νεφρού, επίκτητη
N28.8;Άλλες καθορισμένες διαταραχές του νεφρού και του ουρητήρα 
N28.9;Διαταραχή του νεφρού και του ουρητήρα, μη καθορισμένη
N29*;Άλλες διαταραχές του νεφρού και του ουρητήρα σε νοσήματα που ταξινομούνται αλλού
N29.0*;Όψιμη σύφιλη του νεφρού (A52.7+ )
N29.1*;Άλλες διαταραχές του νεφρού και του ουρητήρα σε λοιμώδη και παρασιτικά νοσήματα που ταξινομούνται αλλού
N29.8*;Άλλες διαταραχές του νεφρού και του ουρητήρα σε άλλα νοσήματα που ταξινομούνται αλλού
N30;Κυστίτιδα
N30.0;Οξεία κυστίτιδα
N30.1;Διάμεση κυστίτιδα (χρόνια)
N30.2;Άλλη χρόνια κυστίτιδα
N30.3;Τριγωνίτιδα
N30.4;Κυστίτιδα από ακτινοβολία
N30.8;Άλλη κυστίτιδα
N30.9;Κυστίτιδα, μη καθορισμένη
N31;Νευρομυϊκή δυσλειτουργία της ουροδόχου κύστης, που δεν ταξινομείται αλλού
N31.0;Μη ανασταλτική νευροπαθητική ουροδόχος κύστη, που δεν ταξινομείται αλλού
N31.1;Αντανακλαστική νευροπαθητική ουροδόχος κύστη, που δεν ταξινομείται αλλού
N31.2;Χαλαρή νευροπαθητική ουροδόχος κύστη, που δεν ταξινομείται αλλού
N31.8;Άλλη νευρομυϊκή δυσλειτουργία της ουροδόχου κύστης
N31.9;Νευρομυϊκή  δυσλειτουργία της ουροδόχου κύστης, μη καθορισμένη
N32;Άλλες διαταραχές της ουροδόχου κύστης
N32.0;Απόφραξη του τραχήλου της ουροδόχου κύστης
N32.1;Κυστεοεντερικό συρίγγιο
N32.2;Κυστικό συρίγγιο, που δεν ταξινομείται αλλού
N32.3;Εκκόλπωμα της ουροδόχου κύστης
N32.4;Ρήξη της ουροδόχου κύστης, μη τραυματική 
N32.8;Άλλες καθορισμένες διαταραχές της ουροδόχου κύστης
N32.9;Διαταραχή της ουροδόχου κύστης, μη καθορισμένη
N33*;Διαταραχές της ουροδόχου κύστης σε νοσήματα που ταξινομούνται αλλού
N33.0*;Φυματιώδης κυστίτιδα (A18.1+ )
N33.8*;Διαταραχές της ουροδόχου κύστης σε άλλα νοσήματα που ταξινομούνται αλλού
N34;Ουρηθρίτιδα και ουρηθρικό σύνδρομο
N34.0;Ουρηθρικό απόστημα
N34.1;Μη ειδική ουρηθρίτιδα
N34.2;Άλλη ουρηθρίτιδα
N34.3;Ουρηθρικό σύνδρομο, μη καθορισμένο
N35;Στένωση της ουρήθρας
N35.0;Μετατραυματική στένωση της ουρήθρας
N35.1;Μεταλοιμώδης στένωση της ουρήθρας, που δεν ταξινομείται αλλού
N35.8;Άλλη στένωση της ουρήθρας
N35.9;Στένωση της ουρήθρας, μη καθορισμένη
N36;Άλλες διαταραχές της ουρήθρας
N36.0;Ουρηθρικό συρίγγιο
N36.1;Ουρηθρικό εκκόλπωμα
N36.2;Ουρηθρικό έκφυμα
N36.3;Πρόπτωση του ουρηθρικού βλεννογόνου 
N36.8;Άλλες καθορισμένες διαταραχές της ουρήθρας
N36.9;Διαταραχή της ουρήθρας, μη καθορισμένη
N37*;Διαταραχές της ουρήθρας σε νοσήματα που ταξινομούνται αλλού
N37.0*;Ουρηθρίτιδα σε νοσήματα που ταξινομούνται αλλού
N37.8*;Άλλες διαταραχές της ουρήθρας σε νοσήματα που ταξινομούνται αλλού
N39;Άλλες διαταραχές του ουροποιητικού συστήματος
N39.0;Λοίμωξη του ουροποιητικού, μη καθορισμένης εντόπισης
N39.1;Εμμένουσα πρωτεϊνουρία, μη καθορισμένη
N39.2;Ορθοστατική πρωτεϊνουρία, μη καθορισμένη
N39.3;Ακράτεια ούρων από προσπάθεια
N39.4;Άλλη καθορισμένη ακράτεια ούρων
N39.8;Άλλες καθορισμένες διαταραχές του ουροποιητικού συστήματος
N39.9;Διαταραχή του ουροποιητικού συστήματος, μη καθορισμένη
N40;Υπερπλασία του προστάτη
N41;Φλεγμονώδη νοσήματα του προστάτη
N41.0;Οξεία προστατίτιδα
N41.1;Χρόνια προστατίτιδα
N41.2;Απόστημα του προστάτη
N41.3;Προστατοκυστίτιδα
N41.8;Άλλα φλεγμονώδη νοσήματα του προστάτη
N41.9;Φλεγμονώδη νοσήματα του προστάτη, μη καθορισμένα
N42;Άλλες διαταραχές του προστάτη
N42.0;Λιθίαση του προστάτη
N42.1;Συμφόρηση και αιμορραγία του προστάτη
N42.2;Ατροφία του προστάτη
N42.8;Άλλες καθορισμένες διαταραχές του προστάτη
N42.9;Διαταραχή του προστάτη, μη καθορισμένη
N43;Υδροκήλη και σπερματοκήλη
N43.0;Εγκυστωμένη υδροκήλη
N43.1;Επιμολυσμένη υδροκήλη
N43.2;Άλλες μορφές υδροκήλης
N43.3;Υδροκήλη, μη καθορισμένη
N43.4;Σπερματοκήλη 
N44;Συστροφή όρχεος
N45;Ορχίτιδα και επιδιδυμίτιδα
N45.0;Ορχίτιδα, επιδιδυμίτιδα και ορχεοεπιδιδυμίτιδα με απόστημα 
N45.9;Ορχίτιδα, επιδιδυμίτιδα και ορχεοεπιδιδυμίτιδα, χωρίς απόστημα
N46;Στειρότητα στον άνδρα
N47;Υπερτροφία πόσθης, φίμωση και παραφίμωση
N48;Άλλες διαταραχές του πέους
N48.0;Λευκοπλακία του πέους
N48.1;Βαλανοποσθίτιδα
N48.2;Άλλες φλεγμονώδεις διαταραχές του πέους
N48.3;Πριαπισμός
N48.4;Στυτική δυσλειτουργία οργανικής αιτιολογίας
N48.5;Έλκος του πέους
N48.6;Σκλήρυνση των σηραγγωδών σωμάτων του πέους
N48.8;Άλλες καθορισμένες διαταραχές του πέους
