A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X622009;ΕΚΤΟΜΗ ΟΣΤΟΥ (Π.Χ., ΓΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ Ή ΑΠΟΣΤΗΜΑ ΟΣΤΟΥ). ΚΑΤΩ ΓΝΑΘΟΣ
X622011;ΕΚΤΟΜΗ ΟΣΤΟΥ (Π.Χ., ΓΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ Ή ΑΠΟΣΤΗΜΑ ΟΣΤΟΥ)ΟΣΤΟΥΝ/Α  ΠΡΟΣΩΠΟΥ
X622017;ΑΦΑΙΡΕΣΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ ΤΩΝ ΟΣΤΩΝ ΤΟΥ ΠΡΟΣΩΠΟΥ (Π.Χ., ΙΝΩΔΗΣ ΔΥΣΠΛΑΣΙΑ)
X622019;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΑΝΩ ΓΝΑΘΟΥ Ή ΖΥΓΩΜΑΤΙΚΟΥ Ή ΓΝΑΘΙΑΙΟΥ ΚΟΛΠΟΥ, ΜΕ ΕΚΠΥΡΗΝΗΣΗ ΚΑΙ  ΑΠΟΞΕΣΗ
X622021;ΕΚΤΟΜΗ ΓΝΑΘΙΑΙΟΥ ΟΓΚΩΜΑΤΟΣ
X622023;ΕΚΤΟΜΗ ΤΗΣ ΓΝΑΘΙΑΙΟΥ ΥΠΕΡΩΪΟΥ ΟΓΚΩΜΑΤΟΣ
X622027;ΕΚΤΟΜΗ ΚΑΚΟΗΘΟΥΣ ΟΓΚΟΥ ΤΗΣ ΑΝΩ ΓΝΑΘΟΥ Ή ΤΟΥ ΖΥΓΩΜΑΤΙΚΟΥ
X622039;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ, ΜΕ ΕΚΠΥΡΗΝΗΣΗ ΚΑΙ/Ή ΑΠΟΞΕΣΗ
X622047;ΕΚΤΟΜΗ ΚΑΚΟΗΘΟΥΣ ΟΓΚΟΥ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ. ΠΕΡΙΦΕΡΙΚΗ ΟΣΤΕΚΤΟΜΗ
X622049;ΕΚΤΟΜΗ ΚΑΚΟΗΘΟΥΣ ΟΓΚΟΥ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ. ΡΙΖΙΚΗ ΕΚΤΟΜΗ
X622051;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ. ΑΠΑΙΤΕΙ ΕΝΔΟΣΤΟΜΑΤΙΚΗ  ΟΣΤΕΟΤΟΜΙΑ (Π.Χ., ΤΟΠΙΚΑ ΕΠΙΘΕΤΙΚΗ Ή ΚΑΤΑΣΤΡΕΠΤΙΚΗ ΒΛΑΒΗ(ΕΣ))
X622053;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ. ΑΠΑΙΤΕΙ ΕΞΩΣΤΟΜΑΤΙΚΗ ΟΣΤΕΟΤΟΜΙΑ ΚΑΙ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ (Π.Χ., ΤΟΠΙΚΑ ΕΠΙΘΕΤΙΚΗ Ή  ΚΑΤΑΣΤΡΕΠΤΙΚΗ ΒΛΑΒΗ (ΕΣ))
X622055;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΤΗΣ ΑΝΩ ΓΝΑΘΟΥ. ΑΠΑΙΤΕΙ ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΟΣΤΕΟΤΟΜΙΑ (Π.Χ., ΤΟΠΙΚΑ ΕΠΙΘΕΤΙΚΗ Ή ΚΑΤΑΣΤΡΕΠΤΙΚΗ ΒΛΑΒΗ(ΕΣ))
X622057;ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ Ή ΚΥΣΤΗΣ ΤΗΣ ΑΝΩ ΓΝΑΘΟΥ. ΑΠΑΙΤΕΙ ΕΞΩΣΤΟΜΑΤΙΚΗ ΟΣΤΕΟΤΟΜΙΑ ΚΑΙ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΗΣ ΚΑΤΩ ΓΝΑΘΟΥ (Π.Χ., ΤΟΠΙΚΑ ΕΠΙΘΕΤΙΚΗ Ή ΚΑΤΑΣΤΡΕΠΤΙΚΗ ΒΛΑΒΗ (ΕΣ))
X622059;ΚΟΝΔΥΛΕΚΤΟΜΗ, ΚΡΟΤΑΦΟΓΝΑΘΙΚΗ ΑΡΘΡΩΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X622079;ΕΚΤΟΜΗ ΜΗΝΙΣΚΟΥ, ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΚΡΟΤΑΦΟΓΝΑΘΙΚΗ ΑΡΘΡΩΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X622099;ΚΟΡΩΝΟΕΙΔΕΚΤΟΜΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X622105;ΘΕΡΑΠΕΥΤΙΚΟΣ ΧΕΙΡΙΣΜΟΣ ΤΗΣ/ΤΩΝ ΚΡΟΤΑΦΟΓΝΑΘΙΚΗΣ/ΩΝ ΑΡΘΡΩΣΗΣ/ΣΕΩΝ (ΚΓΑ), ΑΠΑΙΤΕΙ ΝΑΡΚΩΣΗ (Π.Χ., ΓΕΝΙΚΗ Ή ΕΠΙΤΗΡΟΥΜΕΝΗ ΝΑΡΚΩΣΗ)
X622111;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΧΕΙΡΟΥΡΓΙΚΗ ΠΡΟΘΕΣΗ ΣΥΓΚΛΕΙΣΗΣ ΥΠΕΡΩΑΣ
X622113;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΚΟΓΧΙΚΗ ΠΡΟΣΘΕΤΙΚΗ
X622117;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΕΝΔΙΑΜΕΣΗ ΠΡΟΘΕΣΗ ΣΥΓΚΛΕΙΣΗΣ ΥΠΕΡΩΑΣ
X622119;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΟΡΙΣΤΙΚΗ ΠΡΟΘΕΣΗ ΣΥΓΚΛΕΙΣΗΣ ΥΠΕΡΩΑΣ
X622121;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΠΡΟΣΘΕΤΙΚΗ ΜΕΤΑ ΕΚΤΟΜΗ ΓΝΑΘΟΥ
X622123;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΠΡΟΣΘΕΤΙΚΗ ΑΥΞΗΣΗΣ ΥΠΕΡΩΑΣ
X622125;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΠΡΟΣΘΕΤΙΚΗ ΑΝΥΨΩΣΗΣ ΥΠΕΡΩΑΣ
X622127;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΠΡΟΣΘΕΤΙΚΗ ΥΠΕΡΩΑΣ ΓΙΑ ΥΠΟΒΟΗΘΗΣΗ ΟΜΙΛΙΑΣ
X622129;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΧΕΙΡΟΥΡΓΙΚΟΣ ΝΑΡΘΗΚΑΣ ΣΤΟΜΑΤΟΣ
X622131;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΩΤΙΚΗ ΠΡΟΣΘΕΤΙΚΗ
X622133;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΡΙΝΙΚΗ ΠΡΟΣΘΕΤΙΚΗ
X622135;ΑΠΟΤΥΠΩΜΑ ΚΑΙ ΠΡΟΣΑΡΜΟΣΜΕΝΗ ΠΡΟΕΤΟΙΜΑΣΙΑ. ΠΡΟΣΘΕΤΙΚΗ ΠΡΟΣΩΠΟΥ
X622137;ΜΗ-ΕΓΓΕΓΡΑΜΜΕΝΗ ΓΝΑΘΟΠΡΟΣΩΠΙΚΗ ΠΡΟΣΘΕΤΙΚΗ ΔΙΑΔΙΚΑΣΙΑ
X622159;ΕΦΑΡΜΟΓΗ ΔΙΑΤΑΞΗΣ ΤΥΠΟΥ HALO ΓΙΑ ΓΝΑΘΟΠΡΟΣΩΠΙΚΗ ΚΑΘΗΛΩΣΗ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΦΑΙΡΕΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X622179;ΕΦΑΡΜΟΓΗ ΣΥΣΚΕΥΗΣ ΔΙΑΓΝΑΘΙΚΗΣ ΑΚΙΝΗΤΟΠΟΙΗΣΗΣ ΕΚΤΟΣ  ΚΑΤΑΓΜΑΤΟΣ Ή ΕΞΑΡΘΡΩΣΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΙ ΔΙΑΔΙΚΑΣΙΑ ΑΦΑΙΡΕΣΗΣ
X622191;ΔΙΑΔΙΚΑΣΙΑ ΕΓΧΥΣΗΣ ΓΙΑ ΑΡΘΡΟΓΡΑΦΙΑ ΚΡΟΤΑΦΟΓΝΑΘΙΚΗΣ ΑΡΘΡΩΣΗΣ
X622199;ΓΕΝΙΟΠΛΑΣΤΙΚΗ. ΑΥΞΗΤΙΚΗ (ΑΥΤΟΜΟΣΧΕΥΜΑ, ΑΛΛΟΜΟΣΧΕΥΜΑ, ΠΡΟΣΘΕΤΙΚΟ ΥΛΙΚΟ)
X622201;ΓΕΝΙΟΠΛΑΣΤΙΚΗ. ΟΣΤΕΟΤΟΜΙΑ ΣΧΗΜΑΤΟΣ C, ΕΝΑ ΚΟΜΜΑΤΙ
X622203;ΓΕΝΙΟΠΛΑΣΤΙΚΗ. ΟΣΤΕΟΤΟΜΙΕΣ ΣΧΗΜΑΤΟΣ C, 2 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΟΣΤΕΟΤΟΜΙΕΣ (Π.Χ., ΣΦΗΝΟΕΙΔΗΣ ΕΚΤΟΜΗ Ή ΑΛΛΕΣ ΕΠΕΜΒΑΣΕΙΣ ΓΙΑ ΑΣΥΜΜΕΤΡΟ ΠΩΓΩΝΑ)
X622205;ΓΕΝΙΟΠΛΑΣΤΙΚΗ. ΟΣΤΕΟΤΟΜΙΑ ΣΧΗΜΑΤΟΣ C, ΑΥΞΗΣΗ ΜΕ ΕΝΔΙΑΜΕΣΑ ΜΟΣΧΕΥΜΑΤΑ ΟΣΤΟΥ  (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ)
X622209;ΑΥΞΗΤΙΚΗ, ΣΩΜΑΤΟΣ Ή ΓΩΝΙΑΣ ΓΝΑΘΟΥ. ΠΡΟΣΘΕΤΙΚΟ ΥΛΙΚΟ
X622213;ΑΥΞΗΤΙΚΗ, ΣΩΜΑΤΟΣ Ή ΓΩΝΙΑΣ ΓΝΑΘΟΥ. ΜΕ ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ, ΕΠΙΦΑΝΕΙΑΣ Ή  ΕΝΔΙΑΜΕΣΟ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΟΣ)
X622233;ΣΜΙΚΡΥΝΣΗ ΜΕΤΩΠΟΥ. ΜΟΝΟ ΜΕ ΔΙΑΜΟΡΦΩΣΗ
X622235;ΣΜΙΚΡΥΝΣΗ ΜΕΤΩΠΟΥ. ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΚΑΙ ΕΦΑΡΜΟΓΗ ΠΡΟΣΘΕΤΙΚΟΥ ΥΛΙΚΟΥ Ή ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΟΣ)
X622237;ΣΜΙΚΡΥΝΣΗ ΜΕΤΩΠΟΥ. ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΚΑΙ ΜΕΤΑΤΟΠΙΣΗ ΤΟΥ ΠΡΟΣΘΙΟΥ ΤΟΙΧΩΜΑΤΟΣ ΤΟΥ ΜΕΤΩΠΙΑΙΟΥ ΚΟΛΠΟΥ
X622241;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣOΠΡΟΣΩΠΟΥ, LEFORT I. ΕΝΑ ΤΕΜΑΧΙΟ, ΤΜΗΜΑΤΙΚΗ ΜΕΤΑΚΙΝΗΣΗ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ (Π.Χ.,ΓΙΑ ΣΥΝΔΡΟΜΟ ΜΑΚΡΟΥ ΠΡΟΣΩΠΟΥ), ΧΩΡΙΣ ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ
X622243;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT I. ΔΥΟ ΤΕΜΑΧΙΑ, ΜΕΤΑΚΙΝΗΣΗ ΤΜΗΜΑΤΟΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΧΩΡΙΣ ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ
X622245;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT I. ΤΡΙΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΤΕΜΑΧΙΑ, ΜΕΤΑΚΙΝΗΣΗ ΤΜΗΜΑΤΟΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΧΩΡΙΣ ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ
X622249;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT I. ΈΝΑ ΤΕΜΑΧΙΟ, ΜΕΤΑΚΙΝΗΣΗ ΤΜΗΜΑΤΟΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ)
X622251;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT I. ΔΥΟ ΤΕΜΑΧΙΑ, ΜΕΤΑΚΙΝΗΣΗ ΤΜΗΜΑΤΟΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ) (Π.Χ., ΕΤΕΡΟΠΛΕΥΡΗ ΜΗ ΜΕΤΑΜΟΣΧΕΥΘΕΙΣΑ ΦΑΤΝΙΑΚΗ ΡΩΓΜΗ)
X622253;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT I. ΤΡΙΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΤΕΜΑΧΙΑ, ΜΕΤΑΚΙΝΗΣΗ ΤΜΗΜΑΤΟΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ) (Π.Χ., ΑΜΦΟΤΕΡΟΠΛΕΥΡΗ ΜΗ ΜΕΤΑΜΟΣΧΕΥΘΕΙΣΑ ΦΑΤΝΙΑΚΗ ΡΩΓΜΗ Ή ΠΟΛΛΑΠΛΕΣ ΟΣΤΕΟΤΟΜΕΣ)
X622259;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT II. ΠΡΟΣΘΙΑ ΕΣΟΧΗ (Π.Χ., ΣΥΝΔΡΟΜΟ TREACHER-COLLINS)
X622261;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT II. ΟΠΟΙΑΔΗΠΟΤΕ ΚΑΤΕΥΘΥΝΣΗ, ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ)
X622267;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT III (ΕΞΩΚΡΑΝΙΑΚΗ), ΟΠΟΙΟΥΔΗΠΟΤΕ ΤΥΠΟΥ, ΑΠΑΙΤΕΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ). ΧΩΡΙΣ LEFORT I
X622269;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT III (ΕΞΩΚΡΑΝΙΑΚΗ), ΟΠΟΙΟΥΔΗΠΟΤΕ ΤΥΠΟΥ, ΑΠΑΙΤΕΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ). ΜΕ LEFORT I
X622277;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT III (ΕΞΩ ΚΑΙ ΕΝΔΟΚΡΑΝΙΑΚΗ) ΜΕ ΔΙΕΥΘΕΤΗΣΗ ΜΕΤΩΠΟΥ (Π.Χ., ΜΟΝΟ ΜΠΛΟΚ), ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ). ΧΩΡΙΣ LEFORT I
X622279;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΣΟΤΗΤΑΣ ΠΡΟΣΩΠΟΥ, LEFORT III (ΕΞΩ ΚΑΙ ΕΝΔΟΚΡΑΝΙΑΚΗ) ΜΕ ΔΙΕΥΘΕΤΗΣΗ ΜΕΤΩΠΟΥ (Π.Χ., ΜΟΝΟ ΜΠΛΟΚ), ΑΠΑΙΤΟΥΝΤΑΙ ΟΣΤΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ). ΜΕ LEFORT I
X622303;ΑΝΑΚΑΤΑΣΚΕΥΗ ΑΝΩ ΚΑΙ ΠΛΑΓΙΟΥ ΤΟΙΧΩΜΑΤΟΣ ΚΟΓΧΟΥ ΚΑΙ ΚΑΤΩΤΕΡΟ ΜΕΤΩΠΟ, ΔΙΕΥΘΕΤΗΣΗ Ή ΑΝΑΔΙΑΤΑΞΗ, ΜΕ Ή ΧΩΡΙΣ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ)
X622309;ΑΝΑΚΑΤΑΣΚΕΥΗ, ΜΕΤΩΠΟΥ ΑΜΦΩ, ΑΝΩ ΚΑΙ ΠΛΑΓΙΟΥ ΤΟΙΧΩΜΑΤΟΣ ΚΟΓΧΟΥ ΚΑΙ ΚΑΤΩΤΕΡΟ ΜΕΤΩΠΟ,  ΔΙΕΥΘΕΤΗΣΗ Ή ΑΝΑΔΙΑΤΑΞΗ (Π.Χ., ΠΛΑΓΙΟΚΕΦΑΛΙΑ, ΤΡΙΓΩΝΟΚΕΦΑΛΙΑ, ΒΡΑΧΥΚΕΦΑΛΙΑ), ΜΕ Ή ΧΩΡΙΣ ΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΑΥΤΟΜΟΣΧΕΥΜΑΤΩΝ)
X622317;ΑΝΑΚΑΤΑΣΚΕΥΗ ΟΛΟΚΛΗΡΟΥ Ή ΤΟΥ ΜΕΓΑΛΥΤΕΡΟΥ ΤΜΗΜΑΤΟΣ ΤΟΥ ΜΕΤΩΠΟΥ ΚΑΙ/Ή ΤΟΥ ΥΠΕΡΚΟΓΧΙΟΥ ΧΕΙΛΟΥΣ ΜΕ ΜΟΣΧΕΥΜΑΤΑ (ΑΛΛΟΜΟΣΧΕΥΜΑ Ή ΠΡΟΣΘΕΤΙΚΟ ΥΛΙΚΟ)
X622319;ΑΝΑΚΑΤΑΣΚΕΥΗ ΟΛΟΚΛΗΡΟΥ Ή ΤΟΥ ΜΕΓΑΛΥΤΕΡΟΥ ΤΜΗΜΑΤΟΣ ΤΟΥ ΜΕΤΩΠΟΥ ΚΑΙ/Ή ΤΟΥ ΥΠΕΡΚΟΓΧΙΟΥ ΧΕΙΛΟΥΣ ΜΕ ΑΥΤΟΜΟΣΧΕΥΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΩΝ)
X622321;ΑΝΑΚΑΤΑΣΚΕΥΗ ΜΕΤΑ ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ ΤΩΝ ΚΡΑΝΙΑΚΩΝ ΟΣΤΩΝ (Π.Χ., ΙΝΩΔΗΣ ΔΥΣΠΛΑΣΙΑ), ΕΞΩΚΡΑΝΙΑΚΗ
X622323;ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΩΝ ΚΟΓΧΙΚΩΝ ΤΟΙΧΩΜΑΤΩΝ ΚΑΙ ΔΑΚΤΥΛΙΟΥ, ΤΟΥ ΜΕΤΩΠΟΥ, ΤΟΥ ΡΙΝΟΗΘΜΟΕΙΔΟΥΣ ΣΥΜΠΛΕΓΜΑΤΟΣ ΜΕΤΑ ΕΝΔΟ ΚΑΙ ΕΞΩΚΡΑΝΙΑΚΗ ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ ΚΡΑΝΙΑΚΟΥ ΟΣΤΟΥ (Π.Χ., ΙΝΩΔΗΣ ΔΥΣΠΛΑΣΙΑ), ΜΕ ΠΟΛΛΑΠΛΑ ΑΥΤΟΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΩΝ). Η ΣΥΝΟΛΙΚΗ ΕΠΙΦΑΝΕΙΑ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΕΙΝΑΙ ΜΙΚΡΟΤΕΡΗ ΤΩΝ 40 ΤΕΤ. ΕΚ.
X622325;ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΩΝ ΚΟΓΧΙΚΩΝ ΤΟΙΧΩΜΑΤΩΝ ΚΑΙ ΔΑΚΤΥΛΙΟΥ, ΤΟΥ ΜΕΤΩΠΟΥ, ΤΟΥ ΡΙΝΟΗΘΜΟΕΙΔΟΥΣ ΣΥΜΠΛΕΓΜΑΤΟΣ ΜΕΤΑ ΕΝΔΟ ΚΑΙ ΕΞΩΚΡΑΝΙΑΚΗ ΕΚΤΟΜΗ ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ ΚΡΑΝΙΑΚΟΥ ΟΣΤΟΥ (Π.Χ., ΙΝΩΔΗΣ ΔΥΣΠΛΑΣΙΑ), ΜΕ ΠΟΛΛΑΠΛΑ ΑΥΤΟΜΟΣΧΕΥΜΑΤΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗΝ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΩΝ). Η ΣΥΝΟΛΙΚΗ ΕΠΙΦΑΝΕΙΑ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΕΙΝΑΙ ΜΕΓΑΛΥΤΕΡΗ ΤΩΝ 40 ΤΕΤ. ΕΚ. ΚΑΙ ΜΙΚΡΟΤΕΡΗ ΤΩΝ 80 ΤΕΤ. ΕΚ.
